"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHOSIS_000002","PUBLISHED","2000","EUR","","GEO","BTSX","61.9","61.94118","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","GHA","MLE","53.2","53.21742","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","GHA","FMLE","55.6","55.58364","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","GHA","BTSX","54.3","54.33495","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","GIN","MLE","50.5","50.51083","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","GIN","FMLE","51.2","51.22450","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AFR","","GIN","BTSX","50.9","50.87117","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","GIN","BTSX","51.5","51.51482","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","GMB","MLE","55.3","55.27163","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","GMB","FMLE","56.5","56.49880","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","GMB","BTSX","55.8","55.83424","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","GNB","MLE","49.5","49.47997","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","GNB","FMLE","52.3","52.30532","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","GNB","BTSX","52.6","52.61935","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","GNQ","MLE","53.4","53.42942","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","GNQ","FMLE","54.1","54.07782","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","GNQ","BTSX","53.9","53.85649","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","GRC","MLE","69.9","69.85921","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","GRC","FMLE","71.9","71.86636","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","GRD","MLE","61.5","61.46682","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","GRD","FMLE","66.1","66.13266","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","GRD","BTSX","63.6","63.58349","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","GTM","MLE","55.6","55.60092","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","GTM","FMLE","60.1","60.07415","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","GTM","BTSX","57.8","57.84315","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","GTM","BTSX","60.1","60.08616","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","GUY","MLE","54.5","54.50569","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","GUY","FMLE","58.9","58.86242","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","GUY","BTSX","56.6","56.57614","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","HND","MLE","62.2","62.19304","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","HND","FMLE","62.5","62.50623","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AMR","","HND","BTSX","61.3","61.32786","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","HRV","MLE","65.8","65.78266","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","HRV","FMLE","69.9","69.93188","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","HRV","BTSX","67.9","67.90067","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AMR","","HTI","MLE","54.8","54.77129","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AMR","","HTI","FMLE","54.4","54.44172","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AMR","","HTI","BTSX","55.8","55.80462","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","HUN","MLE","65.0","64.95888","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","HUN","FMLE","69.3","69.25973","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","HUN","BTSX","67.2","67.19180","","","","",""
"WHOSIS_000002","PUBLISHED","2019","SEAR","","IDN","MLE","61.9","61.92342","","","","",""
"WHOSIS_000002","PUBLISHED","2000","SEAR","","IDN","BTSX","59.0","59.02893","","","","",""
"WHOSIS_000002","PUBLISHED","2000","SEAR","","IND","MLE","53.2","53.18710","","","","",""
"WHOSIS_000002","PUBLISHED","2000","SEAR","","IND","FMLE","52.7","52.67527","","","","",""
"WHOSIS_000002","PUBLISHED","2000","SEAR","","IND","BTSX","52.9","52.94549","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","IRL","MLE","65.9","65.87508","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","IRL","FMLE","68.3","68.29726","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","IRL","BTSX","70.1","70.05704","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","IRN","MLE","64.5","64.47820","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","IRN","FMLE","65.6","65.59753","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","IRN","BTSX","65.0","65.02465","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","IRQ","MLE","59.8","59.78924","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EMR","","IRQ","FMLE","62.0","62.00471","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","IRQ","FMLE","62.4","62.38347","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","IRQ","BTSX","60.8","60.80275","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","ISL","MLE","71.7","71.68018","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","ISL","FMLE","72.1","72.09724","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","ISL","BTSX","71.9","71.90189","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","ISR","MLE","71.3","71.30164","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","ISR","FMLE","72.7","72.74494","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","ISR","BTSX","72.4","72.37872","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","ITA","MLE","71.2","71.16368","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","ITA","FMLE","72.6","72.58755","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","ITA","BTSX","71.9","71.91969","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AMR","","JAM","MLE","65.9","65.92520","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","JAM","BTSX","65.4","65.40482","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EMR","","JOR","MLE","65.0","64.95344","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EMR","","JOR","FMLE","62.3","62.26978","","","","",""
